_start,_stop,_time,_value
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:17Z,307
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:22Z,303
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:27Z,302
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:32Z,305
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:37Z,301
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:42Z,300
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:47Z,303
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:52Z,294
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:57Z,298
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:02Z,304
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:07Z,297
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:13Z,307
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:18Z,318
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:23Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:28Z,315
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:33Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:38Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:43Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:48Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:53Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:12:58Z,310
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:03Z,309
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:08Z,306
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:14Z,304
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:19Z,305
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:24Z,305
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:29Z,307
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:34Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:39Z,306
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:44Z,305
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:49Z,299
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:54Z,309
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:13:59Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:04Z,309
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:09Z,299
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:14Z,302
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:22Z,306
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:25Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:30Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:35Z,310
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:40Z,289
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:45Z,294
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:50Z,293
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:14:55Z,290
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:00Z,294
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:05Z,297
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:10Z,275
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:15Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:21Z,328
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:26Z,331
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:31Z,329
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:36Z,323
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:41Z,324
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:46Z,319
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:51Z,321
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:15:56Z,316
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:01Z,319
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:06Z,315
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:11Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:16Z,318
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:22Z,316
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:27Z,319
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:32Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:37Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:42Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:47Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:52Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:16:57Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:02Z,315
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:07Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:12Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:17Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:22Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:28Z,307
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:33Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:38Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:43Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:48Z,315
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:53Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:17:58Z,310
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:18:03Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:18:08Z,312
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:18:13Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:18:18Z,311
